PackageID,TimeStamp,TimeZone,RelayID,SensorID,SensorType,Units,Data,Longitude,Latitude,Altitude,Speed,Climb,Track,LongitudeError,LatitudeError,AltitudeError,SpeedError,ClimbError,TrackError
3698,9/11/2018 22:00,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.41,F,,,,,,,,,,,,
3699,9/11/2018 22:31,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.53,F,,,,,,,,,,,,
3700,9/11/2018 23:01,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3701,9/11/2018 23:31,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3702,9/12/2018 0:01,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3703,9/12/2018 0:32,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.75,F,,,,,,,,,,,,
3704,9/12/2018 1:02,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.75,F,,,,,,,,,,,,
3705,9/12/2018 1:32,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.75,F,,,,,,,,,,,,
3706,9/12/2018 2:02,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3707,9/12/2018 2:33,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3708,9/12/2018 3:03,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3709,9/12/2018 3:33,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3710,9/12/2018 4:03,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.64,F,,,,,,,,,,,,
3711,9/12/2018 4:33,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.53,F,,,,,,,,,,,,
3712,9/12/2018 5:03,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.53,F,,,,,,,,,,,,
3713,9/12/2018 5:33,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.53,F,,,,,,,,,,,,
3714,9/12/2018 6:04,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.53,F,,,,,,,,,,,,
3715,9/12/2018 6:34,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.41,F,,,,,,,,,,,,
3716,9/12/2018 7:04,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.41,F,,,,,,,,,,,,
3717,9/12/2018 7:34,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.41,F,,,,,,,,,,,,
3718,9/12/2018 8:04,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.41,F,,,,,,,,,,,,
3719,9/12/2018 8:34,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.41,F,,,,,,,,,,,,
3720,9/12/2018 9:05,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.30,F,,,,,,,,,,,,
3721,9/12/2018 9:35,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.30,F,,,,,,,,,,,,
3722,9/12/2018 10:05,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.30,F,,,,,,,,,,,,
3723,9/12/2018 10:35,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.30,F,,,,,,,,,,,,
3724,9/12/2018 11:05,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3725,9/12/2018 11:36,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3726,9/12/2018 12:06,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3727,9/12/2018 12:36,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3728,9/12/2018 13:06,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3729,9/12/2018 13:36,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3730,9/12/2018 14:06,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3731,9/12/2018 14:36,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3732,9/12/2018 15:07,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.19,F,,,,,,,,,,,,
3733,9/12/2018 15:37,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.30,F,,,,,,,,,,,,
3734,9/12/2018 16:07,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.41,F,,,,,,,,,,,,
3735,9/12/2018 16:37,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.53,F,,,,,,,,,,,,
3736,9/12/2018 17:08,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.53,F,,,,,,,,,,,,
3737,9/12/2018 17:38,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.75,F,,,,,,,,,,,,
3738,9/12/2018 18:08,UTC,KUGreenRoof,FF08A9B01604,Temperature,65.86,F,,,,,,,,,,,,
3739,9/12/2018 18:38,UTC,KUGreenRoof,FF08A9B01604,Temperature,66.20,F,,,,,,,,,,,,
3740,9/12/2018 19:09,UTC,KUGreenRoof,FF08A9B01604,Temperature,66.20,F,,,,,,,,,,,,
3741,9/12/2018 19:39,UTC,KUGreenRoof,FF08A9B01604,Temperature,66.43,F,,,,,,,,,,,,
3742,9/12/2018 20:09,UTC,KUGreenRoof,FF08A9B01604,Temperature,66.54,F,,,,,,,,,,,,
3743,9/12/2018 20:39,UTC,KUGreenRoof,FF08A9B01604,Temperature,66.65,F,,,,,,,,,,,,
3744,9/12/2018 21:10,UTC,KUGreenRoof,FF08A9B01604,Temperature,66.88,F,,,,,,,,,,,,
3745,9/12/2018 21:40,UTC,KUGreenRoof,FF08A9B01604,Temperature,67.10,F,,,,,,,,,,,,
